Title,Author1,Date,Publisher,DOI
SurfShare,Xincheng Huang,January 2024,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), Volume 7, Issue 4",https://dl.acm.org/doi/10.1145/3631418
A Framework for developing Teamwork Enabled Services in Smart City Domains,Paraskevi Tsoutsa,June 2021,ICCMB '21: Proceedings of the 2021 4th International Conference on Computers in Management and Business,https://dl.acm.org/doi/10.1145/3450588.3450595
Professional Experience Characterization on Information Systems Teams Collaboration,Sofia Maria Bouzon Machado,June 2023,SBSI '23: Proceedings of the XIX Brazilian Symposium on Information Systems,https://dl.acm.org/doi/10.1145/3592813.3592939
We Play We Learn,Shaimaa Lazem,May 2017,CHI '17: Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3025453.3025593
Social interactions in multiscale CVEs,Xiaolong Zhang,September 2002,CVE '02: Proceedings of the 4th international conference on Collaborative virtual environments,https://dl.acm.org/doi/10.1145/571878.571884
Eco-FL: Adaptive Federated Learning with Efficient Edge Collaborative Pipeline Training,Shengyuan Ye,January 2023,ICPP '22: Proceedings of the 51st International Conference on Parallel Processing,https://dl.acm.org/doi/10.1145/3545008.3545015
We Play We Learn,Shaimaa Lazem,May 2017,CHI '17: Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3025453.3025593
Professional Experience Characterization on Information Systems Teams Collaboration,Sofia Maria Bouzon Machado,June 2023,SBSI '23: Proceedings of the XIX Brazilian Symposium on Information Systems,https://dl.acm.org/doi/10.1145/3592813.3592939
A Systematic Analysis of Problems in Open Collaborative Data Engineering,Philip Heltweg,December 2023,"ACM Transactions on Social Computing (TSC), Volume 6, Issue 3-4",https://dl.acm.org/doi/10.1145/3629040
Steps towards collaborative multimodal dialogue (sustained contribution award),Phil Cohen,November 2017,ICMI '17: Proceedings of the 19th ACM International Conference on Multimodal Interaction,https://dl.acm.org/doi/10.1145/3136755.3154480
Effects of Sharing Physiological States of Players in a Collaborative Virtual Reality Gameplay,Arindam Dey,May 2017,CHI '17: Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3025453.3026028
An Interface for Supporting Asynchronous Multi-Level Collaborative Information Retrieval,Nyi Nyi Htun,March 2017,CHIIR '17: Proceedings of the 2017 Conference on Conference Human Information Interaction and Retrieval,https://dl.acm.org/doi/10.1145/3020165.3020172
"Faster, deeper, easier: crowdsourcing diagnosis of microservice kernel failure from user space",Yicheng Pan,July 2021,ISSTA 2021: Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis,https://dl.acm.org/doi/10.1145/3460319.3464805
SceneGit,Edoardo Carra,November 2019,"ACM Transactions on Graphics (TOG), Volume 38, Issue 6",https://dl.acm.org/doi/10.1145/3355089.3356550
Resource sharing for replicated synchronous groupware,James Begole,December 2001,"IEEE/ACM Transactions on Networking (TON), Volume 9, Issue 6",https://dl.acm.org/doi/10.1109/90.974535
Over-computing CSCL macro scripts? gaining flexibility by using WikiPlus instead of specialized tools for authoring macro scripts,Beat Döbeli Honegger,June 2009,CSCL'09: Proceedings of the 9th international conference on Computer supported collaborative learning - Volume 1,https://dl.acm.org/doi/10.5555/1600053.1600123
Toward a Usage-Based Security Framework for Collaborative Computing Systems,Xinwen Zhang,February 2008,"ACM Transactions on Information and System Security (TISSEC), Volume 11, Issue 1",https://dl.acm.org/doi/10.1145/1330295.1330298
"Automation, teamwork, and the feared loss of safety",Åsa Svensson,Open Access,ECCE '21: Proceedings of the 32nd European Conference on Cognitive Ergonomics,https://dl.acm.org/doi/10.1145/3452853.3452855
A Qualitative Comparison Between Augmented and Virtual Reality Collaboration with Handheld Devices,Jens Müller,September 2019,MuC '19: Proceedings of Mensch und Computer 2019,https://dl.acm.org/doi/10.1145/3340764.3340773
Poster,Markus Wutzler,June 2016,"MobiSys '16 Companion: Proceedings of the 14th Annual International Conference on Mobile Systems, Applications, and Services Companion",https://dl.acm.org/doi/10.1145/2938559.2938609
Efficient data integration and communication issues in distributed engineering projects and project consortia,Dietmar Winkler,September 2014,i-KNOW '14: Proceedings of the 14th International Conference on Knowledge Technologies and Data-driven Business,https://dl.acm.org/doi/10.1145/2637748.2638442
Analysis and Modeling of Collaborative Execution Strategies for Heterogeneous CPU-FPGA Architectures,Sitao Huang,April 2019,ICPE '19: Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering,https://dl.acm.org/doi/10.1145/3297663.3310305
Deploying RMACC Summit,Jonathon Anderson,Open Access,"PEARC '17: Proceedings of the Practice and Experience in Advanced Research Computing 2017 on Sustainability, Success and Impact",https://dl.acm.org/doi/10.1145/3093338.3093379
DesignSpace,Andreas Demuth,April 2015,SAC '15: Proceedings of the 30th Annual ACM Symposium on Applied Computing,https://dl.acm.org/doi/10.1145/2695664.2695697
"VHDL teamwork, organization units and workspace management",S. Olcoz,February 1998,"DATE '98: Proceedings of the conference on Design, automation and test in Europe",https://dl.acm.org/doi/10.5555/368058.368154
Towards multi-domain collaborative toolkits,Jacob W. Bartel,February 2012,CSCW '12: Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work,https://dl.acm.org/doi/10.1145/2145204.2145398
Interpreted collaboration protocols and their use in groupware prototyping,Richard Furuta,October 1994,CSCW '94: Proceedings of the 1994 ACM conference on Computer supported cooperative work,https://dl.acm.org/doi/10.1145/192844.192888
Synchronous Collaborative Writing in the Classroom,Soobin Yim,Public Access,CSCW '17: Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,https://dl.acm.org/doi/10.1145/2998181.2998356
Salton Award Lecture - Information retrieval and computer science,W. Bruce Croft,July 2003,SIGIR '03: Proceedings of the 26th annual international ACM SIGIR conference on Research and development in informaion retrieval,https://dl.acm.org/doi/10.1145/860435.860437
The Impact of Remote User’s Role in a Mixed Reality Mixed Presence System,Mitchell Norman,November 2019,VRCAI '19: Proceedings of the 17th International Conference on Virtual-Reality Continuum and its Applications in Industry,https://dl.acm.org/doi/10.1145/3359997.3365691
cSculpt,Claudio Calabrese,July 2016,"ACM Transactions on Graphics (TOG), Volume 35, Issue 4",https://dl.acm.org/doi/10.1145/2897824.2925956
Emotional Design and User Study on Guidance System For MR Distributed Collaboration,Xiaozhan Liang,February 2024,Chinese CHI '22: Proceedings of the Tenth International Symposium of Chinese CHI,https://dl.acm.org/doi/10.1145/3565698.3565786
Edge-assisted collaborative image recognition for augmented reality,Jovan Stojkovic,Public Access,SenSys '19: Proceedings of the 17th Conference on Embedded Networked Sensor Systems,https://dl.acm.org/doi/10.1145/3356250.3361944
Supporting activity-centric collaboration through peer-to-peer shared objects[13] (abstract only),Werner Geyer,April 2003,"ACM SIGGROUP Bulletin (SIGGROUP), Volume 24, Issue 1",https://dl.acm.org/doi/10.1145/1027232.1027252
Supporting activity-centric collaboration through peer-to-peer shared objects,Werner Geyer,November 2003,GROUP '03: Proceedings of the 2003 ACM International Conference on Supporting Group Work,https://dl.acm.org/doi/10.1145/958160.958179
Effects of avatar and background representation forms to co-presence in mixed reality (MR) tele-conference systems,Dongsik Jo,November 2016,SA '16: SIGGRAPH ASIA 2016 Virtual Reality meets Physical Reality: Modelling and Simulating Virtual Humans and Environments,https://dl.acm.org/doi/10.1145/2992138.2992146
How Few Davids Improve One Goliath: Federated Learning in Resource-Skewed Edge Computing Environments,Jiayun Zhang,Open Access,WWW '24: Proceedings of the ACM on Web Conference 2024,https://dl.acm.org/doi/10.1145/3589334.3645544
Autonomic multi-policy optimization in pervasive systems,Ivana Dusparic,May 2012,"ACM Transactions on Autonomous and Adaptive Systems (TAAS), Volume 7, Issue 1",https://dl.acm.org/doi/10.1145/2168260.2168271
H-SwarmLoc,Haoyang Wang,Open Access,SenSys '22: Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,https://dl.acm.org/doi/10.1145/3560905.3568432
Web Perspectives in Robotics Applications,Christopher J. Conti,March 2023,"ACM SIGWEB Newsletter (SIGWEB), Volume 2023, Issue Winter",https://dl.acm.org/doi/10.1145/3583849.3583853
IHIS '05: Proceedings of the first international workshop on Interoperability of heterogeneous information systems,Axel Hahn,November 2005,No publisher,No doi
The (still unexplored) social side of smart grid development,Sabrina Paustian,June 2022,e-Energy '22: Proceedings of the Thirteenth ACM International Conference on Future Energy Systems,https://dl.acm.org/doi/10.1145/3538637.3539585
Collaboard,Martin Kuechler,November 2010,GROUP '10: Proceedings of the 2010 ACM International Conference on Supporting Group Work,https://dl.acm.org/doi/10.1145/1880071.1880107
Dynamic Protocol Selection in Open and Heterogeneous Systems,Jose Ghislain Quenum,December 2006,IAT '06: Proceedings of the IEEE/WIC/ACM international conference on Intelligent Agent Technology,https://dl.acm.org/doi/10.1109/IAT.2006.57
Proxino,Te-Yen Wu,October 2019,UIST '19: Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3332165.3347938
"BlueSky: Activity Control: A Vision for ""Active"" Security Models for Smart Collaborative Systems",Tanjila Mawla,June 2022,SACMAT '22: Proceedings of the 27th ACM on Symposium on Access Control Models and Technologies,https://dl.acm.org/doi/10.1145/3532105.3535017
Proxino,Te-Yen Wu,October 2019,UIST '19: Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3332165.3347938
When is a Tool a Tool? User Perceptions of System Agency in Human–AI Co-Creative Drawing,Tomas Lawton,July 2023,DIS '23: Proceedings of the 2023 ACM Designing Interactive Systems Conference,https://dl.acm.org/doi/10.1145/3563657.3595977
CITY FEED,Linlin You,March 2016,"ACM Transactions on Intelligent Systems and Technology (TIST), Volume 7, Issue 4",https://dl.acm.org/doi/10.1145/2873064
"BlueSky: Activity Control: A Vision for ""Active"" Security Models for Smart Collaborative Systems",Tanjila Mawla,June 2022,SACMAT '22: Proceedings of the 27th ACM on Symposium on Access Control Models and Technologies,https://dl.acm.org/doi/10.1145/3532105.3535017
FinePar: irregularity-aware fine-grained workload partitioning on integrated architectures,Feng Zhang,February 2017,CGO '17: Proceedings of the 2017 International Symposium on Code Generation and Optimization,https://dl.acm.org/doi/10.5555/3049832.3049836
Molecular MR Multiplayer: a cross-platform collaborative interactive game for scientists,Semen Frish,November 2020,VRST '20: Proceedings of the 26th ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/3385956.3422098
A distributed architecture to support infomobility services,Claudia Canali,October 2006,AAA-IDEA '06: Proceedings of the 2nd international workshop on Advanced architectures and algorithms for internet delivery and applications,https://dl.acm.org/doi/10.1145/1190183.1190189
Integrating quantitative and qualitative data in assessment of wiki collaborative assignments,Manuel Palomo Duarte,October 2018,TEEM'18: Proceedings of the Sixth International Conference on Technological Ecosystems for Enhancing Multiculturality,https://dl.acm.org/doi/10.1145/3284179.3284232
CCF,V. Sunderam,November 1998,SC '98: Proceedings of the 1998 ACM/IEEE conference on Supercomputing,https://dl.acm.org/doi/10.5555/509058.509081
Requirements for a layered software architecture supporting cooperative multi-user interaction,Flavio De Paoli,May 1996,ICSE '96: Proceedings of the 18th international conference on Software engineering,https://dl.acm.org/doi/10.5555/227726.227812
Stateful VM Migration Among Heterogeneous WebAssembly Runtimes for Efficient Edge-cloud Collaborations,Daigo Fujii,Open Access,"EdgeSys '24: Proceedings of the 7th International Workshop on Edge Systems, Analytics and Networking",https://dl.acm.org/doi/10.1145/3642968.3654816
A semantic-driven auto-adaptive architecture for collaborative ubiquitous systems,Germán Sancho,October 2008,CSTST '08: Proceedings of the 5th international conference on Soft computing as transdisciplinary science and technology,https://dl.acm.org/doi/10.1145/1456223.1456354
SyD,Sushil K. Prasad,October 2004,Middleware '04: Proceedings of the 5th ACM/IFIP/USENIX international conference on Middleware,https://dl.acm.org/doi/10.5555/1045658.1045684
Architecture-centric support for adaptive service collaborations,Robrecht Haesevoets,February 2014,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 23, Issue 1",https://dl.acm.org/doi/10.1145/2559937
Situated Tangible Gamification of Heritage for Supporting Collaborative Learning of Young Museum Visitors,Eslam Nofal,February 2020,"Journal on Computing and Cultural Heritage  (JOCCH), Volume 13, Issue 1",https://dl.acm.org/doi/10.1145/3350427
Exploring enhancements for remote mixed reality collaboration,Thammathip Piumsomboon,November 2017,SA '17: SIGGRAPH Asia 2017 Mobile Graphics & Interactive Applications,https://dl.acm.org/doi/10.1145/3132787.3139200
Software framework for managing heterogeneity in mobile collaborative systems,Carlos D. Correa,November 2003,GROUP '03: Proceedings of the 2003 ACM International Conference on Supporting Group Work,https://dl.acm.org/doi/10.1145/958160.958180
Supporting interoperability and presence awareness in collaborative mixed reality environments,Oyewole Oyekoya,October 2013,VRST '13: Proceedings of the 19th ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/2503713.2503732
Synergy,Aggelos Liapis,September 2008,DIMEA '08: Proceedings of the 3rd international conference on Digital Interactive Media in Entertainment and Arts,https://dl.acm.org/doi/10.1145/1413634.1413665
Collaborative Knowledge Distillation for Heterogeneous Information Network Embedding,Can Wang,April 2022,WWW '22: Proceedings of the ACM Web Conference 2022,https://dl.acm.org/doi/10.1145/3485447.3512209
Exploring enhancements for remote mixed reality collaboration,Thammathip Piumsomboon,November 2017,SA '17: SIGGRAPH Asia 2017 Mobile Graphics & Interactive Applications,https://dl.acm.org/doi/10.1145/3132787.3139200
Synergy,Aggelos Liapis,September 2008,DIMEA '08: Proceedings of the 3rd international conference on Digital Interactive Media in Entertainment and Arts,https://dl.acm.org/doi/10.1145/1413634.1413665
Device-Cloud Collaborative Learning for Recommendation,Jiangchao Yao,August 2021,KDD '21: Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data Mining,https://dl.acm.org/doi/10.1145/3447548.3467097
An Exploration of Openness in Hardware and Software Through Implementation of a RISC-V Based Desktop Computer,Simon Butler,Open Access,OpenSym '22: Proceedings of the 18th International Symposium on Open Collaboration,https://dl.acm.org/doi/10.1145/3555051.3555065
360Drops: Mixed Reality Remote Collaboration using 360 Panoramas within the 3D Scene*,Theophilus Teo,November 2019,SA '19: SIGGRAPH Asia 2019 Emerging Technologies,https://dl.acm.org/doi/10.1145/3355049.3360517
Standards-Based DevOps Automation and Integration Using TOSCA,Johannes Wettinger,December 2014,UCC '14: Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing,https://dl.acm.org/doi/10.1109/UCC.2014.14
nu-view,Masood Masoodian,February 2016,ACSW '16: Proceedings of the Australasian Computer Science Week Multiconference,https://dl.acm.org/doi/10.1145/2843043.2843374
Towards Successful Knowledge Integration in Online Collaboration,Meike Osinski,November 2019,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 3, Issue CSCW",https://dl.acm.org/doi/10.1145/3359133
I need help!,Nicole Gridling,February 2012,CSCW '12: Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work Companion,https://dl.acm.org/doi/10.1145/2141512.2141549
MR.Brick: Designing A Remote Mixed-reality Educational Game System for Promoting Children’s Social & Collaborative Skills,Yudan Wu,Open Access,CHI '23: Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3544548.3581041
VANET '09: Proceedings of the sixth ACM international workshop on VehiculAr InterNETworking,Rajeev Shorey,September 2009,No publisher,No doi
Test-driven roles for pair programming,Max Goldman,May 2010,CHASE '10: Proceedings of the 2010 ICSE Workshop on Cooperative and Human Aspects of Software Engineering,https://dl.acm.org/doi/10.1145/1833310.1833313
Integration of synchronous and asynchronous collaboration activities,Larry S. Jackson,June 1999,"ACM Computing Surveys (CSUR), Volume 31, Issue 2es",https://dl.acm.org/doi/10.1145/323216.323359
Using social robots to create inclusive classroom experiences for children with mixed visual abilities,Isabel Neto,March 2021,"ACM SIGACCESS Accessibility and Computing (SIGACCESS), Issue 129",https://dl.acm.org/doi/10.1145/3458055.3458056
Collaborative data sharing via update exchange and provenance,Grigoris Karvounarakis,September 2013,"ACM Transactions on Database Systems (TODS), Volume 38, Issue 3",https://dl.acm.org/doi/10.1145/2500127
Actor Network Theory as A Framework to Build Business Collaboration Network Applied to Digital Government,Mohammed Salim Benqatla,May 2018,LOPAL '18: Proceedings of the International Conference on Learning and Optimization Algorithms: Theory and Applications,https://dl.acm.org/doi/10.1145/3230905.3230934
Implementing the high level architecture in the Virtual Test Bed,José Sepúlveda,December 2004,WSC '04: Proceedings of the 36th conference on Winter simulation,https://dl.acm.org/doi/10.5555/1161734.1162001
PinchPan,Heidi Pi Jensen,November 2016,ACE '16: Proceedings of the 13th International Conference on Advances in Computer Entertainment Technology,https://dl.acm.org/doi/10.1145/3001773.3001789
Collaborative Knowledge Base Embedding for Recommender Systems,Fuzheng Zhang,August 2016,KDD '16: Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,https://dl.acm.org/doi/10.1145/2939672.2939673
Collaboration in the small vs. collaboration in the large,Philip M. Johnson,April 1995,"ACM SIGOIS Bulletin (SIGOIS), Volume 15, Issue 3",https://dl.acm.org/doi/10.1145/201947.201963
SEICOS,Andreas Budde,December 2009,iiWAS '09: Proceedings of the 11th International Conference on Information Integration and Web-based Applications & Services,https://dl.acm.org/doi/10.1145/1806338.1806452
Collaborative Knowledge Base Embedding for Recommender Systems,Fuzheng Zhang,August 2016,KDD '16: Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,https://dl.acm.org/doi/10.1145/2939672.2939673
Mixed-instance querying,R. Bonaque,September 2016,"Proceedings of the VLDB Endowment (PVLDB), Volume 9, Issue 13",https://dl.acm.org/doi/10.14778/3007263.3007297
Incentive-Aware Decentralized Data Collaboration,Yatong Wang,Open Access,"Proceedings of the ACM on Management of Data (PACMMOD), Volume 1, Issue 2",https://dl.acm.org/doi/10.1145/3589303
Semantics based service orchestration in IoT,Edmore Chindenga,September 2017,SAICSIT '17: Proceedings of the South African Institute of Computer Scientists and Information Technologists,https://dl.acm.org/doi/10.1145/3129416.3129438
Transnational digital government research project highlights,José A. B. Fortes,May 2004,dg.o '04: Proceedings of the 2004 annual national conference on Digital government research,https://dl.acm.org/doi/10.5555/1124191.1124319
Transnational digital government research project highlights,José A. B. Fortes,May 2005,dg.o '05: Proceedings of the 2005 national conference on Digital government research,https://dl.acm.org/doi/10.5555/1065226.1065275
The collaborative cube puzzle,Josef Wideström,September 2000,CVE '00: Proceedings of the third international conference on Collaborative virtual environments,https://dl.acm.org/doi/10.1145/351006.351035
Rescheduling and checkpointing as strategies to run synchronous parallel programs on P2P desktop grids,Rodrigo da Rosa Righi,April 2015,SAC '15: Proceedings of the 30th Annual ACM Symposium on Applied Computing,https://dl.acm.org/doi/10.1145/2695664.2695979
Interactive 360-Degree Glasses-Free Tabletop 3D Display,Motohiro Makiguchi,October 2019,UIST '19: Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3332165.3347948
Contact Zones,Sebastian Prost,April 2021,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 5, Issue CSCW1",https://dl.acm.org/doi/10.1145/3449121
A meta-reflective wiki for collaborative design,Li Zhu,October 2011,WikiSym '11: Proceedings of the 7th International Symposium on Wikis and Open Collaboration,https://dl.acm.org/doi/10.1145/2038558.2038569
Understanding Power Differentials and Cultural Differences in Co-design with Marginalized Populations,Qinzhi Jiang,June 2022,COMPASS '22: Proceedings of the 5th ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,https://dl.acm.org/doi/10.1145/3530190.3534819
Active domain-specific languages,Diego Vaquero-Melchor,September 2017,MODELS '17: Proceedings of the ACM/IEEE 20th International Conference on Model Driven Engineering Languages and Systems,https://dl.acm.org/doi/10.1109/MODELS.2017.13
The virtual chocolate factory,Maribeth Back,October 2010,MM '10: Proceedings of the 18th ACM international conference on Multimedia,https://dl.acm.org/doi/10.1145/1873951.1874262
lightweight decentralized authorization model for inter-domain collaborations,Hannah K. Lee,November 2007,SWS '07: Proceedings of the 2007 ACM workshop on Secure web services,https://dl.acm.org/doi/10.1145/1314418.1314431
Supporting multi-party voice-over-IP services with peer-to-peer stream processing,Xiaohui Gu,November 2005,MULTIMEDIA '05: Proceedings of the 13th annual ACM international conference on Multimedia,https://dl.acm.org/doi/10.1145/1101149.1101210
High Assurance for Distributed Cyber Physical Systems,Scott A. Hissam,September 2015,ECSAW '15: Proceedings of the 2015 European Conference on Software Architecture Workshops,https://dl.acm.org/doi/10.1145/2797433.2797439
Support for collaborative situation analysis and planning in crisis management teams using interactive tabletops,Sebastian Doeweling,October 2013,ITS '13: Proceedings of the 2013 ACM international conference on Interactive tabletops and surfaces,https://dl.acm.org/doi/10.1145/2512349.2512823
Using Speech Patterns to Model the Dimensions of Teamness in Human-Agent Teams,Emily Doherty,Open Access,ICMI '23: Proceedings of the 25th International Conference on Multimodal Interaction,https://dl.acm.org/doi/10.1145/3577190.3614121
On Decentralized Coordination for Spatial Task Allocation and Scheduling in Heterogeneous Teams,Eduardo Feo Flushing,May 2016,AAMAS '16: Proceedings of the 2016 International Conference on Autonomous Agents & Multiagent Systems,https://dl.acm.org/doi/10.5555/2936924.2937070
"A Survey on Synchronous Augmented, Virtual, andMixed Reality Remote Collaboration Systems",Alexander Schäfer,Open Access,"ACM Computing Surveys (CSUR), Volume 55, Issue 6",https://dl.acm.org/doi/10.1145/3533376
Legible+,Mariano Perez Pelaez,November 2009,"ICIS '09: Proceedings of the 2nd International Conference on Interaction Sciences: Information Technology, Culture and Human",https://dl.acm.org/doi/10.1145/1655925.1656028
Using Speech Patterns to Model the Dimensions of Teamness in Human-Agent Teams,Emily Doherty,Open Access,ICMI '23: Proceedings of the 25th International Conference on Multimodal Interaction,https://dl.acm.org/doi/10.1145/3577190.3614121
Towards systematic engineering of collaborative heterogeneous robotic systems,Simos Gerasimou,May 2019,RoSE '19: Proceedings of the 2nd International Workshop on Robotics Software Engineering,https://dl.acm.org/doi/10.1109/RoSE.2019.00012
Reconciling semantic conflicts in electronic patient data exchange,Chiw Yi Lee,December 2009,iiWAS '09: Proceedings of the 11th International Conference on Information Integration and Web-based Applications & Services,https://dl.acm.org/doi/10.1145/1806338.1806409
An approach to evolutionary design pattern engineering,René Reiners,October 2012,PLoP '12: Proceedings of the 19th Conference on Pattern Languages of Programs,https://dl.acm.org/doi/10.5555/2821679.2831292
Designing multi-user multi-device systems,Yun Ding,December 2008,MUM '08: Proceedings of the 7th International Conference on Mobile and Ubiquitous Multimedia,https://dl.acm.org/doi/10.1145/1543137.1543140
Evaluating Remote and Head-worn Eye Trackers in Multi-modal Speech-based HRI,Michael Barz,March 2017,HRI '17: Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,https://dl.acm.org/doi/10.1145/3029798.3038367
Collaborative steering and post-processing of simulations on HPC resources,Florian Niebling,July 2010,Web3D '10: Proceedings of the 15th International Conference on Web 3D Technology,https://dl.acm.org/doi/10.1145/1836049.1836065
Evaluating Remote and Head-worn Eye Trackers in Multi-modal Speech-based HRI (Demo),Michael Barz,March 2017,HRI '17: Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,https://dl.acm.org/doi/10.1145/3029798.3036665
Systematic mapping of the literature,José Antonio Yañez-Figueroa,November 2016,TEEM '16: Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,https://dl.acm.org/doi/10.1145/3012430.3012609
The Effects of System Initiative during Conversational Collaborative Search,Sandeep Avula,April 2022,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 6, Issue CSCW1",https://dl.acm.org/doi/10.1145/3512913
"Designing Telepresence Drones to Support Synchronous, Mid-air Remote Collaboration: An Exploratory Study",Mehrnaz Sabet,May 2021,CHI '21: Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3411764.3445041
Barriers to virtual collaboration,Amy Tan,April 2008,CHI EA '08: CHI '08 Extended Abstracts on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/1358628.1358636
Grouping Peers Based on Complementary Degree and Social Relationship using Genetic Algorithm,Timothy K. Shih,October 2018,"ACM Transactions on Internet Technology (TOIT), Volume 19, Issue 1",https://dl.acm.org/doi/10.1145/3193180
NOTERE '08: Proceedings of the 8th international conference on New technologies in distributed systems,Djamal Benslimane,June 2008,No publisher,No doi
A visual interactive environment for enhancing collaboration between engineers for the safety analysis mechanisms in embedded systems,Ragaad AlTarawneh,February 2014,CSCW Companion '14: Proceedings of the companion publication of the 17th ACM conference on Computer supported cooperative work & social computing,https://dl.acm.org/doi/10.1145/2556420.2556480
Kahawai,Eduardo Cuervo,May 2015,"MobiSys '15: Proceedings of the 13th Annual International Conference on Mobile Systems, Applications, and Services",https://dl.acm.org/doi/10.1145/2742647.2742657
Investigating effects of visual and tactile feedback on spatial coordination in collaborative handheld systems,Koji Yatani,February 2012,CSCW '12: Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work,https://dl.acm.org/doi/10.1145/2145204.2145305
aSIT: An Interface-oriented Distributed Automated Test System,Xiaohu Chai,August 2021,"CNIOT '21: Proceedings of the 2021 2nd International Conference on Computing, Networks and Internet of Things",https://dl.acm.org/doi/10.1145/3468691.3468698
Developing an In-Application Shared View Metric to Capture Collaborative Learning in a Multi-Platform Astronomy Simulation,Morgan Diederich,Open Access,LAK21: LAK21: 11th International Learning Analytics and Knowledge Conference,https://dl.acm.org/doi/10.1145/3448139.3448156
HosTaGe,Emmanouil Vasilomanolakis,September 2014,SIN '14: Proceedings of the 7th International Conference on Security of Information and Networks,https://dl.acm.org/doi/10.1145/2659651.2659663
Use Ping Wisely: A Study of Team Communication and Performance under Lean Affordance,Keyang Zheng,January 2023,"ACM Transactions on Social Computing (TSC), Volume 5, Issue 1-4",https://dl.acm.org/doi/10.1145/3557022
Drawing in the lamposcope,Viveka Weiley,June 2013,C&C '13: Proceedings of the 9th ACM Conference on Creativity & Cognition,https://dl.acm.org/doi/10.1145/2466627.2481213
ARTEMIS: A Collaborative Mixed-Reality System for Immersive Surgical Telementoring,Danilo Gasques,Open Access,CHI '21: Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3411764.3445576
Kahawai,Eduardo Cuervo,May 2015,"MobiSys '15: Proceedings of the 13th Annual International Conference on Mobile Systems, Applications, and Services",https://dl.acm.org/doi/10.1145/2742647.2742657
"Designing Telepresence Drones to Support Synchronous, Mid-air Remote Collaboration: An Exploratory Study",Mehrnaz Sabet,May 2021,CHI '21: Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3411764.3445041
Virtual data integration on the web,Andreas Langegger,November 2008,iiWAS '08: Proceedings of the 10th International Conference on Information Integration and Web-based Applications & Services,https://dl.acm.org/doi/10.1145/1497308.1497410
Accelerating Video Captioning on Heterogeneous System Architectures,Horng-Ruey Huang,Open Access,"ACM Transactions on Architecture and Code Optimization (TACO), Volume 19, Issue 3",https://dl.acm.org/doi/10.1145/3527609
Federated Identity Management and Interoperability for Heterogeneous Cloud Platform Ecosystems,Nirojan Selvanathan,Open Access,"ARES '19: Proceedings of the 14th International Conference on Availability, Reliability and Security",https://dl.acm.org/doi/10.1145/3339252.3341492
Activity-centric support for ad hoc knowledge work,Steven Houben,April 2013,CHI '13: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/2470654.2481312
BeamLite: Diminishing Ecological Fractures of Remote Collaboration through Mixed Reality Environments,Florian Jasche,June 2021,C&T '21: Proceedings of the 10th International Conference on Communities & Technologies - Wicked Problems in the Age of Tech,https://dl.acm.org/doi/10.1145/3461564.3461566
